Calculation: 0, x = 0.000000, y = 0.000000
Calculation: 0, x = 0.000000, y = 0.000000
Calculation: 1000000, x = 0.000000, y = 0.000000
Calculation: 1000000, x = 0.000000, y = 0.000000
Calculation: 2000000, x = 0.000000, y = 0.000000
Calculation: 2000000, x = 0.000000, y = 0.000000
Calculation: 3000000, x = 0.000000, y = 0.000000
Calculation: 3000000, x = 0.000000, y = 0.000000
Calculation: 4000000, x = 0.000000, y = 0.000000
Calculation: 4000000, x = 0.000000, y = 0.000000
Calculation: 5000000, x = 0.000000, y = 0.000000
Calculation: 5000000, x = 0.000000, y = 0.000000
Calculation: 6000000, x = 0.000000, y = 0.000000
Calculation: 6000000, x = 0.000000, y = 0.000000
Calculation: 7000000, x = 0.000000, y = 0.000000
Calculation: 7000000, x = 0.000000, y = 0.000000
Calculation: 8000000, x = 0.000000, y = 0.000000
Calculation: 8000000, x = 0.000000, y = 0.000000
Calculation: 9000000, x = 0.000000, y = 0.000000
Calculation: 9000000, x = 0.000000, y = 0.000000
Calculation: 10000000, x = 0.000000, y = 0.000000
Calculation: 10000000, x = 0.000000, y = 0.000000
Calculation: 11000000, x = 0.000000, y = 0.000000
Calculation: 11000000, x = 0.000000, y = 0.000000
Calculation: 12000000, x = 0.000000, y = 0.000000
Calculation: 12000000, x = 0.000000, y = 0.000000
Calculation: 13000000, x = 0.000000, y = 0.000000
Calculation: 13000000, x = 0.000000, y = 0.000000
Calculation: 14000000, x = 0.000000, y = 0.000000
Calculation: 14000000, x = 0.000000, y = 0.000000
Calculation: 15000000, x = 0.000000, y = 0.000000
Calculation: 15000000, x = 0.000000, y = 0.000000
Calculation: 16000000, x = 0.000000, y = 0.000000
Calculation: 16000000, x = 0.000000, y = 0.000000
Calculation: 17000000, x = 0.000000, y = 0.000000
Calculation: 17000000, x = 0.000000, y = 0.000000
Calculation: 18000000, x = 0.000000, y = 0.000000
Calculation: 18000000, x = 0.000000, y = 0.000000
Calculation: 19000000, x = 0.000000, y = 0.000000
Calculation: 19000000, x = 0.000000, y = 0.000000
Calculation: 20000000, x = 0.000000, y = 0.000000
Calculation: 20000000, x = 0.000000, y = 0.000000
Calculation: 21000000, x = 0.000000, y = 0.000000
Calculation: 21000000, x = 0.000000, y = 0.000000
Calculation: 22000000, x = 0.000000, y = 0.000000
Calculation: 22000000, x = 0.000000, y = 0.000000
Calculation: 23000000, x = 0.000000, y = 0.000000
Calculation: 23000000, x = 0.000000, y = 0.000000
Calculation: 24000000, x = 0.000000, y = 0.000000
Calculation: 24000000, x = 0.000000, y = 0.000000
Calculation: 25000000, x = 0.000000, y = 0.000000
Calculation: 25000000, x = 0.000000, y = 0.000000
Calculation: 26000000, x = 0.000000, y = 0.000000
Calculation: 26000000, x = 0.000000, y = 0.000000
Calculation: 27000000, x = 0.000000, y = 0.000000
Calculation: 27000000, x = 0.000000, y = 0.000000
Calculation: 28000000, x = 0.000000, y = 0.000000
Calculation: 28000000, x = 0.000000, y = 0.000000
Calculation: 29000000, x = 0.000000, y = 0.000000
Calculation: 29000000, x = 0.000000, y = 0.000000
Calculation: 30000000, x = 0.000000, y = 0.000000
Calculation: 30000000, x = 0.000000, y = 0.000000
Calculation: 31000000, x = 0.000000, y = 0.000000
Calculation: 31000000, x = 0.000000, y = 0.000000
Calculation: 32000000, x = 0.000000, y = 0.000000
Calculation: 32000000, x = 0.000000, y = 0.000000
Calculation: 33000000, x = 0.000000, y = 0.000000
Calculation: 33000000, x = 0.000000, y = 0.000000
Calculation: 34000000, x = 0.000000, y = 0.000000
Calculation: 34000000, x = 0.000000, y = 0.000000
Calculation: 35000000, x = 0.000000, y = 0.000000
Calculation: 35000000, x = 0.000000, y = 0.000000
Calculation: 36000000, x = 0.000000, y = 0.000000
Calculation: 36000000, x = 0.000000, y = 0.000000
Calculation: 37000000, x = 0.000000, y = 0.000000
Calculation: 37000000, x = 0.000000, y = 0.000000
Calculation: 38000000, x = 0.000000, y = 0.000000
Calculation: 38000000, x = 0.000000, y = 0.000000
Calculation: 39000000, x = 0.000000, y = 0.000000
Calculation: 39000000, x = 0.000000, y = 0.000000
Calculation: 40000000, x = 0.000000, y = 0.000000
Calculation: 40000000, x = 0.000000, y = 0.000000
Calculation: 41000000, x = 0.000000, y = 0.000000
Calculation: 41000000, x = 0.000000, y = 0.000000
Calculation: 42000000, x = 0.000000, y = 0.000000
Calculation: 42000000, x = 0.000000, y = 0.000000
Calculation: 43000000, x = 0.000000, y = 0.000000
Calculation: 43000000, x = 0.000000, y = 0.000000
Calculation: 44000000, x = 0.000000, y = 0.000000
Calculation: 44000000, x = 0.000000, y = 0.000000
Calculation: 45000000, x = 0.000000, y = 0.000000
Calculation: 45000000, x = 0.000000, y = 0.000000
Calculation: 46000000, x = 0.000000, y = 0.000000
Calculation: 46000000, x = 0.000000, y = 0.000000
Calculation: 47000000, x = 0.000000, y = 0.000000
Calculation: 47000000, x = 0.000000, y = 0.000000
Calculation: 48000000, x = 0.000000, y = 0.000000
Calculation: 48000000, x = 0.000000, y = 0.000000
Calculation: 49000000, x = 0.000000, y = 0.000000
Calculation: 49000000, x = 0.000000, y = 0.000000
Calculation: 50000000, x = 0.000000, y = 0.000000
Calculation: 50000000, x = 0.000000, y = 0.000000
Calculation: 51000000, x = 0.000000, y = 0.000000
Calculation: 51000000, x = 0.000000, y = 0.000000
Calculation: 52000000, x = 0.000000, y = 0.000000
Calculation: 52000000, x = 0.000000, y = 0.000000
Calculation: 53000000, x = 0.000000, y = 0.000000
Calculation: 53000000, x = 0.000000, y = 0.000000
Calculation: 54000000, x = 0.000000, y = 0.000000
Calculation: 55000000, x = 0.000000, y = 0.000000
Calculation: 54000000, x = 0.000000, y = 0.000000
Calculation: 56000000, x = 0.000000, y = 0.000000
Calculation: 55000000, x = 0.000000, y = 0.000000
Calculation: 57000000, x = 0.000000, y = 0.000000
Calculation: 56000000, x = 0.000000, y = 0.000000
Calculation: 58000000, x = 0.000000, y = 0.000000
Calculation: 57000000, x = 0.000000, y = 0.000000
Calculation: 59000000, x = 0.000000, y = 0.000000
Calculation: 58000000, x = 0.000000, y = 0.000000
Calculation: 60000000, x = 0.000000, y = 0.000000
Calculation: 59000000, x = 0.000000, y = 0.000000
Calculation: 61000000, x = 0.000000, y = 0.000000
Calculation: 60000000, x = 0.000000, y = 0.000000
Calculation: 62000000, x = 0.000000, y = 0.000000
Calculation: 61000000, x = 0.000000, y = 0.000000
Calculation: 63000000, x = 0.000000, y = 0.000000
